[01-Feb-2025 01:29:05 Europe/Berlin] PHP Warning:  ini_set(): Session ini settings cannot be changed when a session is active in C:\xampp\htdocs\shoop\controller\cpancon.php on line 4
[01-Feb-2025 01:29:05 Europe/Berlin] PHP Notice:  session_start(): Ignoring session_start() because a session is already active in C:\xampp\htdocs\shoop\controller\cpancon.php on line 5
[01-Feb-2025 01:30:01 Europe/Berlin] PHP Warning:  ini_set(): Session ini settings cannot be changed when a session is active in C:\xampp\htdocs\shoop\controller\cpancon.php on line 2
[01-Feb-2025 01:30:01 Europe/Berlin] PHP Warning:  ini_set(): Session ini settings cannot be changed when a session is active in C:\xampp\htdocs\shoop\controller\cpancon.php on line 3
[01-Feb-2025 01:30:01 Europe/Berlin] PHP Warning:  ini_set(): Session ini settings cannot be changed when a session is active in C:\xampp\htdocs\shoop\controller\cpancon.php on line 4
[01-Feb-2025 01:30:01 Europe/Berlin] PHP Notice:  session_start(): Ignoring session_start() because a session is already active in C:\xampp\htdocs\shoop\controller\cpancon.php on line 5
[01-Feb-2025 01:36:11 Europe/Berlin] PHP Warning:  ini_set(): Session ini settings cannot be changed when a session is active in C:\xampp\htdocs\shoop\controller\cpancon.php on line 2
[01-Feb-2025 01:36:11 Europe/Berlin] PHP Warning:  ini_set(): Session ini settings cannot be changed when a session is active in C:\xampp\htdocs\shoop\controller\cpancon.php on line 3
[01-Feb-2025 01:36:11 Europe/Berlin] PHP Warning:  ini_set(): Session ini settings cannot be changed when a session is active in C:\xampp\htdocs\shoop\controller\cpancon.php on line 4
[01-Feb-2025 01:36:11 Europe/Berlin] PHP Notice:  session_start(): Ignoring session_start() because a session is already active in C:\xampp\htdocs\shoop\controller\cpancon.php on line 5
[01-Feb-2025 01:36:11 Europe/Berlin] PHP Warning:  Undefined array key "imgpro" in C:\xampp\htdocs\shoop\views\vwListPed.php on line 157
[01-Feb-2025 01:36:11 Europe/Berlin] PHP Warning:  Undefined array key "nomimg" in C:\xampp\htdocs\shoop\views\vwListPed.php on line 158
[01-Feb-2025 01:36:11 Europe/Berlin] PHP Warning:  Undefined array key "imgpro" in C:\xampp\htdocs\shoop\views\vwListPed.php on line 157
[01-Feb-2025 01:36:11 Europe/Berlin] PHP Warning:  Undefined array key "nomimg" in C:\xampp\htdocs\shoop\views\vwListPed.php on line 158
[01-Feb-2025 01:36:11 Europe/Berlin] PHP Warning:  Undefined array key "imgpro" in C:\xampp\htdocs\shoop\views\vwListPed.php on line 157
[01-Feb-2025 01:36:11 Europe/Berlin] PHP Warning:  Undefined array key "nomimg" in C:\xampp\htdocs\shoop\views\vwListPed.php on line 158
[01-Feb-2025 01:36:11 Europe/Berlin] PHP Warning:  Undefined array key "imgpro" in C:\xampp\htdocs\shoop\views\vwListPed.php on line 157
[01-Feb-2025 01:36:11 Europe/Berlin] PHP Warning:  Undefined array key "nomimg" in C:\xampp\htdocs\shoop\views\vwListPed.php on line 158
[01-Feb-2025 01:36:11 Europe/Berlin] PHP Warning:  Undefined array key "imgpro" in C:\xampp\htdocs\shoop\views\vwListPed.php on line 157
[01-Feb-2025 01:36:11 Europe/Berlin] PHP Warning:  Undefined array key "nomimg" in C:\xampp\htdocs\shoop\views\vwListPed.php on line 158
[01-Feb-2025 01:36:11 Europe/Berlin] PHP Warning:  Undefined array key "imgpro" in C:\xampp\htdocs\shoop\views\vwListPed.php on line 157
[01-Feb-2025 01:36:11 Europe/Berlin] PHP Warning:  Undefined array key "nomimg" in C:\xampp\htdocs\shoop\views\vwListPed.php on line 158
[01-Feb-2025 01:36:11 Europe/Berlin] PHP Warning:  Undefined array key "imgpro" in C:\xampp\htdocs\shoop\views\vwListPed.php on line 157
[01-Feb-2025 01:36:11 Europe/Berlin] PHP Warning:  Undefined array key "nomimg" in C:\xampp\htdocs\shoop\views\vwListPed.php on line 158
[01-Feb-2025 01:36:11 Europe/Berlin] PHP Warning:  Undefined array key "imgpro" in C:\xampp\htdocs\shoop\views\vwListPed.php on line 157
[01-Feb-2025 01:36:11 Europe/Berlin] PHP Warning:  Undefined array key "nomimg" in C:\xampp\htdocs\shoop\views\vwListPed.php on line 158
[01-Feb-2025 01:37:28 Europe/Berlin] PHP Warning:  ini_set(): Session ini settings cannot be changed when a session is active in C:\xampp\htdocs\shoop\controller\cpancon.php on line 2
[01-Feb-2025 01:37:28 Europe/Berlin] PHP Warning:  ini_set(): Session ini settings cannot be changed when a session is active in C:\xampp\htdocs\shoop\controller\cpancon.php on line 3
[01-Feb-2025 01:37:28 Europe/Berlin] PHP Warning:  ini_set(): Session ini settings cannot be changed when a session is active in C:\xampp\htdocs\shoop\controller\cpancon.php on line 4
[01-Feb-2025 01:37:28 Europe/Berlin] PHP Notice:  session_start(): Ignoring session_start() because a session is already active in C:\xampp\htdocs\shoop\controller\cpancon.php on line 5
[01-Feb-2025 01:37:28 Europe/Berlin] PHP Warning:  Undefined array key "imgpro" in C:\xampp\htdocs\shoop\views\vwListPed.php on line 157
[01-Feb-2025 01:37:28 Europe/Berlin] PHP Warning:  Undefined array key "nomimg" in C:\xampp\htdocs\shoop\views\vwListPed.php on line 158
[01-Feb-2025 01:37:28 Europe/Berlin] PHP Warning:  Undefined array key "imgpro" in C:\xampp\htdocs\shoop\views\vwListPed.php on line 157
[01-Feb-2025 01:37:28 Europe/Berlin] PHP Warning:  Undefined array key "nomimg" in C:\xampp\htdocs\shoop\views\vwListPed.php on line 158
[01-Feb-2025 01:37:28 Europe/Berlin] PHP Warning:  Undefined array key "imgpro" in C:\xampp\htdocs\shoop\views\vwListPed.php on line 157
[01-Feb-2025 01:37:28 Europe/Berlin] PHP Warning:  Undefined array key "nomimg" in C:\xampp\htdocs\shoop\views\vwListPed.php on line 158
[01-Feb-2025 01:37:28 Europe/Berlin] PHP Warning:  Undefined array key "imgpro" in C:\xampp\htdocs\shoop\views\vwListPed.php on line 157
[01-Feb-2025 01:37:28 Europe/Berlin] PHP Warning:  Undefined array key "nomimg" in C:\xampp\htdocs\shoop\views\vwListPed.php on line 158
[01-Feb-2025 01:37:28 Europe/Berlin] PHP Warning:  Undefined array key "imgpro" in C:\xampp\htdocs\shoop\views\vwListPed.php on line 157
